Product Name,Product ID,Processor Type,Generation,RAM,Storage,Graphics,Display,Price
"Asus VivoBook Go 15 E1504FA AMD Ryzen 3 7320U 8GB RAM, 512GB SSD 15.6 Inch FHD LED Display Mixed Black Laptop", 33.01.006.1767,Core i5,Not Applicable,8GB,512GB SSD,Shared,15.6,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Soft Lavender Laptop", 33.01.780.69,Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Infinite Black Laptop", 33.01.780.70,Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Star Silver Laptop", 33.01.780.71,Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Aqua Blue Laptop", 33.01.780.72,Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7  8GBRAM, 512GB SSD 14 Inch FHD Display Anchor Grey Laptop", 33.01.780.73,Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Golden Matt Black Laptop", 33.01.780.74,Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Flowers on Yellow Laptop", 33.01.780.75,Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Paisley on Lilac Laptop", 33.01.780.77,Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Snowflakes on Azure Blue Laptop", 33.01.780.78,Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Snowflakes on Mountain Blue Laptop", 33.01.780.79,Core i3,11th (Intel),8GB,512GB SSD,Shared,14,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Iris on Ruby Laptop", 33.01.780.76,Core i3,11th (Intel),8GB,512GB SSD,Shared,14,"62,000 "
"Acer TravelMate P214-54 Intel Core i3 1215U 8GB DDR4, 1TB HDD 14 Inch FHD IPS Display Black Laptop", 33.01.002.1013,Core i3,12th (Intel),8GB,1TB HDD,Shared,14,"62,500 "
Asus VivoBook 15 X1500EA Intel Core i3 1115G4 8GB RAM 512GB SSD 15.6 Inch FHD WV Display Indie Black Laptop, 33.01.006.1627,Core i3,11th (Intel),8GB,512GB SSD,Shared,15.6,"62,800 "
HP ProBook 450 G8 Intel Core i3 1115G4 8GB RAM 256GB SSD 15.6 Inch HD Display Pike Silver Laptop#1A890AV, 33.01.020.1498,Core i3,11th (Intel),8GB,256GB SSD,Shared,15.6,"63,000 "
MSI Modern 14 C12MO Intel Core i3 1215U 16GB RAM 512GB SSD14 Inch FHD Display Classic Black Laptop, 33.01.033.1273,Core i3,12th (Intel),16GB,512GB SSD,Shared,14,"63,000 "
MSI Modern 14 C12MO Intel Core i3 1215U 16GB RAM 512GB SSD 14 Inch FHD Display Urban Silver Laptop, 33.01.033.1274,Core i3,12th (Intel),16GB,512GB SSD,Shared,14,"63,000 "
"Asus VivoBook 15 X1502ZA Intel Core i3 1215U 8GB RAM, 512GB SSD 15.6 Inch FHD Display Quiet Blue Laptop", 33.01.006.1805,Core i3,12th (Intel),8GB,512GB SSD,Shared,15.6,"63,500 "
"Asus VivoBook S15 S513EA Intel Core i3 1115G4 8GB RAM, 512GB SSD 15.6 Inch FHD OLED Display Indie Black Laptop", 33.01.006.1778,Core i5,11th (Intel),8GB,512GB SSD,Shared,15.6,"63,800 "
Lenovo IdeaPad Slim 3i 15IAU7 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Abyss Blue Laptop, 33.01.200.1112,Core i3,12th (Intel),8GB,512GB SSD,Shared,15.6,"64,000 "
Acer TravelMate P214-53 Intel Core i5 1135G7 8GB RAM 1TB HDD 14 Inch FHD Display Black Laptop, 33.01.002.923,Core i3,11th (Intel),8GB,1TB HDD,Shared,14,"65,500 "
"Asus VivoBook 15 X1502ZA Intel Core i3 1215U 8GB RAM, 256GB SSD 15.6 Inch FHD Display Terra Cotta Laptop", 33.01.006.1771,Core i5,12th (Intel),8GB,256GB SSD,Shared,15.6,"66,500 "
"Lenovo IdeaPad Slim 3i 15IRU8 Intel Core i3 1305U 8GB RAM, 512GB SSD 15.6 Inch FHD Display Arctic Grey Laptop", 33.01.200.1146,Core i5,13th (Intel),8GB,512GB SSD,Shared,15.6,"68,000 "
Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop, 33.01.006.1522,Core i5,11th (Intel),4GB,1TB HDD,Shared,15.6,"68,500 "
HP 240 G8 Intel Core i5 1135G7 8GB RAM 1TB HDD 14 Inch FHD Display Ash Laptop, 33.01.020.1444,Core i3,11th (Intel),8GB,1TB HDD,Shared,14,"68,500 "
Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB HDD 15.6 Inch FHD WV Display Peacock Blue Laptop, 33.01.006.1563,Core i3,11th (Intel),4GB,1TB,Shared,15.6,"68,500 "
Asus VivoBook S15 S513EA Intel Core i3 1115G4 4GB RAM 512GB SSD 15.6 Inch FHD OLED Display Indie Black Laptop, 33.01.006.1629,Core i3,11th (Intel),4GB,512GB SSD,Shared,15.6,"69,000 "
Asus VivoBook 15 X1502ZA Intel Core i3 1220P 4GB RAM 512GB SSD 15.6 Inch FHD WV Display Quiet Blue Laptop, 33.01.006.1649,Core i3,12th (Intel),4GB,512GB SSD,Shared,15.6,"69,800 "
